Frame,Person,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight
131,1,284,114,136,137
133,0,920,87,136,136
133,1,907,511,95,95
133,2,294,484,113,114
133,1,284,114,136,137
135,1,907,501,95,95
135,0,920,87,136,136
135,2,294,484,113,114
135,1,284,114,136,137
137,0,920,100,136,137
137,1,907,501,95,95
137,2,294,484,113,114
137,1,284,114,136,137
139,0,920,100,136,137
139,1,907,501,95,95
139,2,294,484,113,114
139,1,284,114,136,137
141,1,907,501,95,95
141,0,920,100,136,137
141,2,294,484,113,114
141,1,284,114,136,137
143,1,916,501,95,95
143,0,920,87,136,136
143,2,294,484,113,114
143,1,284,114,136,137
145,1,907,501,95,95
145,0,920,100,136,137
145,2,294,484,113,114
145,1,284,114,136,137
147,1,907,501,95,95
147,0,920,100,136,137
147,2,294,484,113,114
147,1,284,114,136,137
149,1,907,501,95,95
149,0,920,100,136,137
149,2,294,484,113,114
149,1,284,114,136,137
151,1,907,501,95,95
151,0,920,100,136,137
151,2,294,484,113,114
151,1,297,114,137,137
153,1,907,501,95,95
153,0,920,100,136,137
153,2,294,484,113,114
153,1,284,114,136,137
155,0,920,100,136,137
155,1,916,501,95,95
155,2,305,484,114,114
155,1,297,100,137,137
157,0,920,100,136,137
157,1,916,501,95,95
157,2,294,484,113,114
157,1,297,114,137,137
159,0,920,100,136,137
159,2,302,501,95,95
159,1,916,501,95,95
159,1,305,127,114,113
161,0,920,100,136,137
161,1,926,501,95,95
161,1,305,127,114,113
161,2,294,484,113,114
163,0,920,100,136,137
163,2,282,495,114,114
163,1,926,501,95,95
163,1,305,127,114,113
165,2,282,495,114,114
165,0,920,100,136,137
165,1,926,501,95,95
165,1,305,127,114,113
167,2,282,484,114,114
167,0,920,100,136,137
167,1,305,127,114,113
167,1,926,501,95,95
169,2,282,484,114,114
169,0,920,100,136,137
169,1,305,127,114,113
169,1,932,508,79,79
171,2,282,484,114,114
171,0,927,104,114,113
171,1,305,127,114,113
171,1,926,511,95,95
173,0,927,104,114,113
173,2,282,484,114,114
173,1,305,127,114,113
173,1,926,511,95,95
175,2,282,484,114,114
175,1,305,127,114,113
175,0,920,100,136,137
175,1,926,511,95,95
177,2,282,484,114,114
177,0,920,100,136,137
177,1,305,127,114,113
177,1,936,511,95,95
179,2,282,484,114,114
179,0,920,100,136,137
179,1,305,127,114,113
179,1,936,511,95,95
181,2,282,484,114,114
181,0,920,100,136,137
181,1,284,114,136,137
181,1,936,501,95,95
183,2,282,484,114,114
183,0,920,100,136,137
183,1,284,114,136,137
183,1,936,501,95,95
185,2,282,484,114,114
185,0,920,100,136,137
185,1,284,114,136,137
185,1,936,501,95,95
187,2,282,484,114,114
187,0,920,100,136,137
187,1,936,501,95,95
187,1,284,114,136,137
189,2,282,484,114,114
189,1,926,511,95,95
189,0,920,100,136,137
189,1,305,127,114,113
191,2,282,484,114,114
191,0,920,100,136,137
191,1,916,511,95,95
191,1,305,127,114,113
193,2,282,484,114,114
193,0,920,100,136,137
193,1,916,511,95,95
193,1,305,127,114,113
195,1,916,511,95,95
195,0,920,100,136,137
195,2,282,484,114,114
195,1,305,127,114,113
197,2,283,501,95,95
197,0,920,100,136,137
197,1,916,501,95,95
197,1,305,127,114,113
199,1,916,501,95,95
199,2,283,501,95,95
199,0,920,100,136,137
199,1,305,127,114,113
201,2,283,501,95,95
201,0,920,100,136,137
201,1,916,501,95,95
201,1,305,127,114,113
203,2,283,501,95,95
203,0,920,100,136,137
203,1,916,501,95,95
203,1,305,127,114,113
205,0,920,100,136,137
205,2,283,501,95,95
205,1,916,501,95,95
205,1,284,114,136,137
207,2,283,501,95,95
207,0,920,100,136,137
207,1,904,495,114,114
207,1,284,114,136,137
209,2,271,484,113,114
209,0,920,100,136,137
209,1,907,501,95,95
209,1,284,114,136,137
211,0,920,100,136,137
211,2,271,484,113,114
211,1,907,501,95,95
211,1,284,114,136,137
213,0,920,100,136,137
213,2,271,484,113,114
213,1,907,501,95,95
213,1,284,114,136,137
215,0,920,100,136,137
215,2,283,501,95,95
215,1,907,501,95,95
215,1,284,114,136,137
217,0,920,100,136,137
217,2,283,501,95,95
217,1,907,501,95,95
217,1,284,114,136,137
219,0,920,100,136,137
219,2,283,501,95,95
219,1,284,114,136,137
219,1,904,495,114,114
221,0,920,100,136,137
221,2,283,501,95,95
221,1,916,501,95,95
221,1,284,114,136,137
223,1,907,501,95,95
223,0,920,100,136,137
223,2,283,501,95,95
223,1,284,114,136,137
225,0,920,100,136,137
225,2,283,501,95,95
225,1,924,508,79,79
225,1,297,100,137,137
227,2,283,501,95,95
227,0,920,100,136,137
227,1,297,100,137,137
227,1,924,500,79,79
229,0,920,100,136,137
229,2,283,501,95,95
229,1,924,500,79,79
229,1,305,115,114,114
231,0,920,100,136,137
231,2,283,501,95,95
231,1,924,500,79,79
231,1,305,127,114,113
233,0,920,100,136,137
233,2,283,501,95,95
233,1,916,500,79,79
233,1,305,127,114,113
235,0,920,100,136,137
235,2,283,501,95,95
235,1,916,500,79,79
235,11,297,100,137,137
237,2,283,501,95,95
237,0,920,100,136,137
237,1,916,500,79,79
237,11,297,100,137,137
239,2,283,501,95,95
239,0,920,100,136,137
239,1,897,501,95,95
239,11,297,114,137,137
241,2,283,501,95,95
241,0,920,100,136,137
